FIPS,State,County,Premature_Death_Total,Poor_or_Fair_Health,Adult_Smoking,Adult_Obesity,Uninsured,Primary_Care_Physician,Some_College,Unemployment,Children_in_Poverty,Air_Pollution_PM,Severe_Housing_Problems,Premature_Death_AIAN,Premature_Death_Asian,Premature_Death_Black,Premature_Death_Hispanic,Premature_Death_White,Premature_Death_NHOPI
0,US,United States,8351.7365494,0.173,0.132,0.335,0.0954837794,0.0007494266,0.6782543655,0.036390896,0.16,7.3,0.1684472413,17595.989732,3287.2325153,13698.397493,6933.6587148,8038.489963,12223.375848
1,AL,Alabama,11853.247248,0.218,0.162,0.384,0.1048872681,0.0006365235,0.6177276981,0.0249824318,0.213,8.6,0.1308234169,6128.0748882,3517.4885131,15767.493943,6680.9491119,10855.355098,10354.068763
1,AL,Autauga County,9938.2633823,0.177,0.154,0.384,0.0819036072,0.0004399695,0.6137873219,0.0218888889,0.17,9.3,0.1352093342,Not Available,Not Available,14123.416478,Not Available,9204.935423,Not Available
1,AL,Baldwin County,8957.1126859,0.17,0.147,0.368,0.1021234205,0.000626844,0.6484787528,0.0227949698,0.141,7.8,0.1196811561,Not Available,Not Available,14756.810615,4636.4842397,8730.3548402,Not Available
1,AL,Barbour County,12738.656137,0.284,0.219,0.438,0.1211704165,0.0004005768,0.4407743125,0.0443101712,0.348,8.8,0.1380638064,Not Available,Not Available,15318.969816,Not Available,10657.611948,Not Available
1,AL,Bibb County,11708.948038,0.251,0.218,0.414,0.1083579882,0.0006673488,0.4353322528,0.024623803,0.214,8.6,0.119266055,Not Available,Not Available,11576.084947,Not Available,11951.858059,Not Available
1,AL,Blount County,11898.088409,0.226,0.195,0.373,0.1251558215,0.0002032486,0.5262711265,0.0214429478,0.166,8.8,0.1025821596,Not Available,Not Available,20007.076409,4471.911834,12605.22656,Not Available
1,AL,Bullock County,15998.089209,0.349,0.249,0.494,0.1140909091,0.0001937984,0.3631386861,0.0237777778,0.398,8.4,0.1271929825,Not Available,Not Available,19644.613375,Not Available,9641.0202232,Not Available
1,AL,Butler County,14616.39262,0.26,0.204,0.455,0.1038040427,0.0002647744,0.4157664905,0.0291930292,0.374,8.4,0.0987748851,Not Available,Not Available,17911.769834,Not Available,12175.887746,Not Available
1,AL,Calhoun County,14259.564795,0.215,0.18,0.383,0.1183334269,0.0005863484,0.541490514,0.0281949934,0.285,8.9,0.123715995,Not Available,Not Available,15369.189349,5648.7027973,14640.803654,Not Available
1,AL,Chambers County,12568.860637,0.267,0.209,0.454,0.1273807243,0.0004053154,0.5251649157,0.0238446411,0.26,8.9,0.152,Not Available,Not Available,13770.740282,Not Available,12022.063696,Not Available
1,AL,Cherokee County,12680.903028,0.195,0.176,0.402,0.1325415178,0.0004400704,0.5010112153,0.0239581576,0.205,8.4,0.0851393189,Not Available,Not Available,10186.746839,Not Available,13147.391579,Not Available
1,AL,Chilton County,11802.63262,0.196,0.155,0.363,0.1318174548,0.0002208773,0.4612614195,0.0219287439,0.215,8.9,0.1286231884,Not Available,Not Available,13709.904717,6293.0333915,12205.924987,Not Available
1,AL,Choctaw County,12977.181714,0.265,0.208,0.458,0.1116294207,0.0003989468,0.4762100082,0.0400379057,0.358,8.7,0.1362763916,Not Available,Not Available,16377.209767,Not Available,10888.109934,Not Available
1,AL,Clarke County,16382.035791,0.262,0.205,0.444,0.1148128868,0.0003954306,0.4139002136,0.0499275458,0.287,8.8,0.12,Not Available,Not Available,20046.220218,Not Available,13592.753565,Not Available
1,AL,Clay County,13312.804786,0.246,0.215,0.396,0.1055630936,0.0002818887,0.5180650941,0.023549201,0.25,6.8,0.1009259259,Not Available,Not Available,13873.276197,Not Available,13399.797421,Not Available
1,AL,Cleburne County,12586.014576,0.231,0.208,0.394,0.1238729591,0.000264848,0.5054945055,0.02272361,0.217,8.3,0.0830357143,Not Available,Not Available,Not Available,Not Available,12688.603997,Not Available
1,AL,Coffee County,10338.895023,0.195,0.146,0.341,0.115180798,0.0005168531,0.6143234937,0.0250677196,0.21,8.9,0.1140136719,Not Available,Not Available,17446.127733,6468.4326739,9260.3220446,Not Available
1,AL,Colbert County,12369.517136,0.215,0.188,0.409,0.1068873768,0.0006611685,0.5802328073,0.0294227652,0.205,7.5,0.1071113074,Not Available,Not Available,17447.633843,Not Available,11531.494037,Not Available
1,AL,Conecuh County,18927.733282,0.264,0.198,0.447,0.1057656996,0.0004413842,0.3804582793,0.035454332,0.431,8.5,0.0633213859,Not Available,Not Available,21894.198447,Not Available,18061.37597,Not Available
1,AL,Coosa County,14409.561567,0.237,0.203,0.428,0.0949401523,,0.4018464529,0.0255001099,0.28,8.5,0.0666666667,Not Available,Not Available,21679.053653,Not Available,12183.222228,Not Available
1,AL,Covington County,14664.189369,0.218,0.189,0.446,0.1103448276,0.000479693,0.5071758985,0.0274341044,0.224,8.6,0.1185729276,Not Available,Not Available,23507.141183,Not Available,13850.254485,Not Available
1,AL,Crenshaw County,13951.809024,0.236,0.2,0.403,0.131403118,0.0002293052,0.477896852,0.0266233766,0.271,8.5,0.104189044,Not Available,Not Available,18278.022489,Not Available,12937.786182,Not Available
1,AL,Cullman County,11852.911745,0.218,0.186,0.397,0.1164789446,0.0004804684,0.5927217659,0.02041586,0.213,8.7,0.1051912568,Not Available,Not Available,8561.1201647,8298.8397977,12200.697074,Not Available
1,AL,Dale County,11939.042155,0.23,0.185,0.443,0.1049121135,0.0002837339,0.5869128554,0.0253325785,0.22,9.0,0.1163328197,Not Available,Not Available,13991.875402,6579.5324564,12314.419509,Not Available
1,AL,Dallas County,20426.822143,0.281,0.197,0.505,0.0973662639,0.0007177224,0.5738366572,0.0542217626,0.465,8.7,0.155022593,Not Available,Not Available,23108.824115,Not Available,13897.291745,Not Available
1,AL,DeKalb County,11969.446607,0.281,0.225,0.389,0.1519862125,0.0004038266,0.5009260331,0.0227067475,0.288,7.2,0.1228515625,Not Available,Not Available,16438.052197,6785.1591056,13165.340187,Not Available
1,AL,Elmore County,9508.1160841,0.188,0.158,0.364,0.0899437942,0.0002239541,0.5325638568,0.0212986475,0.17,9.4,0.1052797977,Not Available,Not Available,12329.134806,Not Available,9011.5686028,Not Available
1,AL,Escambia County,15044.632371,0.257,0.217,0.435,0.1241663326,0.0002997357,0.3683420855,0.0311634349,0.29,8.9,0.1125776398,14988.106016,Not Available,16464.440757,Not Available,14733.108308,Not Available
1,AL,Etowah County,14706.297419,0.222,0.188,0.413,0.112525627,0.0007367054,0.5298256966,0.0279482627,0.255,7.9,0.1136066858,Not Available,Not Available,19933.321384,7086.1125202,14292.259145,Not Available
1,AL,Fayette County,14667.278733,0.254,0.218,0.392,0.1155548403,0.0009908348,0.5038802661,0.0288666059,0.22,8.3,0.0983078163,Not Available,Not Available,19560.206682,Not Available,14602.274783,Not Available
1,AL,Franklin County,13058.98714,0.255,0.203,0.396,0.1369978534,0.000406085,0.4243792325,0.0256896189,0.344,7.5,0.0994979461,Not Available,Not Available,22308.427183,7634.7196992,13638.124548,Not Available
1,AL,Geneva County,14287.285268,0.226,0.18,0.382,0.1210851975,0.0002996142,0.4830424761,0.0244293866,0.27,8.9,0.1280931587,Not Available,Not Available,25279.25728,Not Available,13853.265634,Not Available
1,AL,Greene County,16286.662891,0.341,0.239,0.51,0.092735123,0.0003932363,0.3531331593,0.0477025605,0.468,8.5,0.1385964912,Not Available,Not Available,16184.85154,Not Available,16696.201961,Not Available
1,AL,Hale County,15927.466736,0.263,0.186,0.444,0.1139656858,0.0002033347,0.5116760272,0.0332887253,0.322,8.7,0.147030185,Not Available,Not Available,19642.222642,Not Available,11096.801328,Not Available
1,AL,Henry County,10894.195271,0.258,0.215,0.383,0.1127886987,0.0003436623,0.4472563267,0.0263493413,0.227,9.0,0.0843091335,Not Available,Not Available,16382.549992,Not Available,8872.0410025,Not Available
1,AL,Houston County,11251.055627,0.223,0.188,0.375,0.1171585758,0.0008189246,0.5767757147,0.0258287321,0.246,9.3,0.1322545322,Not Available,Not Available,15567.470421,7195.9544095,9723.9920766,Not Available
1,AL,Jackson County,13931.867869,0.24,0.207,0.386,0.129937158,0.0005116253,0.5045908832,0.0248275275,0.192,7.9,0.1008631319,Not Available,Not Available,16439.816484,Not Available,14446.821183,Not Available
1,AL,Jefferson County,13163.518237,0.197,0.15,0.397,0.0960067357,0.0011110778,0.6914318106,0.0245276408,0.215,10.2,0.160617936,Not Available,3415.7803466,17503.645334,9007.9138043,10096.052682,Not Available
1,AL,Lamar County,12036.358042,0.222,0.19,0.383,0.1106487611,,0.5242782152,0.0279562424,0.23,8.2,0.0981308411,Not Available,Not Available,18911.489515,Not Available,11619.803322,Not Available
1,AL,Lauderdale County,9936.8569068,0.188,0.163,0.365,0.1064372475,0.0005423051,0.5838279609,0.0253922044,0.168,7.3,0.1192987081,Not Available,Not Available,16304.794098,Not Available,9507.6776928,Not Available
1,AL,Lawrence County,13633.173957,0.24,0.205,0.407,0.1217629202,0.0001813237,0.5229002709,0.0225871314,0.192,7.9,0.0862068966,Not Available,Not Available,22370.80964,Not Available,14246.422775,Not Available
1,AL,Lee County,7894.4869047,0.197,0.159,0.352,0.1004613633,0.0004965636,0.7632713787,0.0229331823,0.149,9.3,0.1806875792,Not Available,Not Available,12544.060523,4061.2804744,6862.0947108,Not Available
1,AL,Limestone County,8777.4894426,0.182,0.155,0.358,0.0923175388,0.0003441316,0.6637945656,0.0206563552,0.113,7.8,0.0992497038,Not Available,Not Available,8558.6951989,7467.8901742,9248.7549364,Not Available
1,AL,Lowndes County,19891.328012,0.3,0.219,0.496,0.0910078783,0.0001003512,0.4548259145,0.0457012282,0.421,8.7,0.1829896907,Not Available,Not Available,22345.234593,Not Available,15486.246454,Not Available
1,AL,Macon County,15396.827364,0.284,0.192,0.477,0.0961538462,0.0003175443,0.5215698023,0.0318949343,0.406,8.9,0.1254379818,Not Available,Not Available,17602.786187,Not Available,10328.759798,Not Available
1,AL,Madison County,9054.1844336,0.172,0.138,0.357,0.0806479077,0.0008552394,0.7713874641,0.0204677795,0.135,7.1,0.1099133105,Not Available,2691.4913285,12287.537135,5165.5989005,8619.8982683,Not Available
1,AL,Marengo County,14678.892244,0.26,0.199,0.461,0.1024383505,0.0004211413,0.5402635432,0.0333553065,0.331,8.7,0.0917241379,Not Available,Not Available,18377.461573,Not Available,11492.693523,Not Available
1,AL,Marion County,12543.533929,0.228,0.188,0.395,0.1121395987,0.000239349,0.5868696187,0.0292030164,0.243,7.8,0.1006289308,Not Available,Not Available,10167.848148,Not Available,13122.961336,Not Available
1,AL,Marshall County,12808.56937,0.207,0.171,0.386,0.1241745022,0.0005497414,0.5058410226,0.0205583207,0.215,8.7,0.1025677201,Not Available,Not Available,15626.59209,9104.7402678,13498.904735,Not Available
1,AL,Mobile County,12655.580664,0.247,0.191,0.422,0.1176122841,0.0007117386,0.5880152933,0.0310043278,0.248,8.0,0.1520453036,13544.020116,4929.8314629,15884.084942,5792.4419597,11260.681913,Not Available
1,AL,Monroe County,15784.597331,0.261,0.208,0.427,0.1147275306,0.0004580619,0.3820224719,0.0427815138,0.279,8.6,0.1090661213,Not Available,Not Available,20546.676284,Not Available,12581.108523,Not Available
1,AL,Montgomery County,13219.378867,0.248,0.181,0.446,0.1125308519,0.0009673136,0.6437651835,0.0281265324,0.26,7.9,0.1743422898,Not Available,4130.4818814,15403.244165,11564.412794,9623.3972448,Not Available
1,AL,Morgan County,12501.614916,0.219,0.175,0.387,0.1225546779,0.0005094285,0.5725092918,0.019869691,0.168,8.1,0.1091445428,Not Available,Not Available,18148.549107,9107.3673958,12119.496691,Not Available
1,AL,Perry County,17916.639734,0.329,0.235,0.5,0.1012900976,0.0003590664,0.3458980044,0.0500167842,0.503,8.5,0.1036906854,Not Available,Not Available,21188.780241,Not Available,8522.1868736,Not Available
1,AL,Pickens County,13196.566691,0.256,0.196,0.438,0.1046413502,0.0003723206,0.4326746792,0.0302176697,0.303,8.6,0.0986418871,Not Available,Not Available,17875.70708,Not Available,11054.330688,Not Available
1,AL,Pike County,13497.370953,0.217,0.164,0.406,0.1058417085,0.0004243582,0.619406049,0.027288514,0.325,8.6,0.1572545613,Not Available,Not Available,18087.809853,Not Available,11500.005405,Not Available
1,AL,Randolph County,11833.808003,0.235,0.204,0.409,0.1272769734,0.0002728637,0.4996944388,0.0244889488,0.25,8.4,0.1138872748,Not Available,Not Available,13830.439576,Not Available,11627.111235,Not Available
1,AL,Russell County,14160.382378,0.264,0.203,0.469,0.1174595948,0.0001702939,0.6081383773,0.0275583864,0.267,8.7,0.1778305964,Not Available,Not Available,13863.542,5390.8545315,16154.99102,Not Available
1,AL,St. Clair County,11877.985387,0.178,0.152,0.33,0.0957893482,0.0001832924,0.58721363,0.0213632938,0.143,9.4,0.0942203492,Not Available,Not Available,13481.427955,Not Available,12030.764853,Not Available
1,AL,Shelby County,6794.9802433,0.146,0.112,0.321,0.0756171604,0.0007712581,0.7626787702,0.0184491585,0.094,10.0,0.1003597342,Not Available,2070.8674698,8973.9704092,3879.5467465,6863.6859118,Not Available
1,AL,Sumter County,15670.022213,0.295,0.207,0.452,0.0935182971,0.0005754686,0.5294888598,0.0368673647,0.454,8.7,0.1153846154,Not Available,Not Available,18630.570142,Not Available,9315.4649957,Not Available
1,AL,Talladega County,15316.224091,0.235,0.185,0.426,0.1048795335,0.0002575929,0.5128604832,0.0277452555,0.228,9.1,0.1458464443,Not Available,Not Available,17193.726355,Not Available,14850.11994,Not Available
1,AL,Tallapoosa County,12182.594159,0.228,0.176,0.419,0.1227664015,0.0004631548,0.5188252181,0.0251941329,0.226,8.6,0.1193528694,Not Available,Not Available,13875.102993,Not Available,11788.053298,Not Available
1,AL,Tuscaloosa County,10422.47724,0.213,0.176,0.414,0.0880480633,0.0006299365,0.6553000876,0.023399467,0.238,7.5,0.1532583445,Not Available,Not Available,13711.956846,8948.4642935,8761.3956166,Not Available
1,AL,Walker County,18377.077905,0.25,0.218,0.429,0.1233731922,0.0004628344,0.5626496409,0.0264438992,0.233,9.0,0.1174680463,Not Available,Not Available,20941.05142,Not Available,18753.645779,Not Available
