FIPS,State,County,Premature_Death_Total,Poor_or_Fair_Health,Adult_Smoking,Adult_Obesity,Uninsured,Primary_Care_Physician,Some_College,Unemployment,Children_in_Poverty,Air_Pollution_PM,Severe_Housing_Problems,Premature_Death_AIAN,Premature_Death_Asian,Premature_Death_Black,Premature_Death_Hispanic,Premature_Death_White,Premature_Death_NHOPI,DeathGap_AIAN,DeathGap_Asian,DeathGap_Black,DeathGap_Hispanic,DeathGap_White,DeathGap_NHOPI
0,US,United States,8351.7365494,0.173,0.132,0.335,0.0954837794,0.0007494266,0.6782543655,0.036390896,0.16,7.3,0.1684472413,17595.989732,3287.2325153,13698.397493,6933.6587148,8038.489963,12223.375848,9244.253182599998,-5064.5040341,5346.6609436,-1418.0778346000006,-313.2465864000005,3871.639298599999
1,AL,Alabama,11853.247248,0.218,0.162,0.384,0.1048872681,0.0006365235,0.6177276981,0.0249824318,0.213,8.6,0.1308234169,6128.0748882,3517.4885131,15767.493943,6680.9491119,10855.355098,10354.068763,-5725.1723598,-8335.758734899999,3914.246695,-5172.298136099999,-997.8921499999997,-1499.1784850000004
1,AL,Autauga County,9938.2633823,0.177,0.154,0.384,0.0819036072,0.0004399695,0.6137873219,0.0218888889,0.17,9.3,0.1352093342,,,14123.416478,,9204.935423,,,,4185.1530956999995,,-733.3279592999988,
1,AL,Baldwin County,8957.1126859,0.17,0.147,0.368,0.1021234205,0.000626844,0.6484787528,0.0227949698,0.141,7.8,0.1196811561,,,14756.810615,4636.4842397,8730.3548402,,,,5799.697929100001,-4320.628446199999,-226.75784569999996,
1,AL,Barbour County,12738.656137,0.284,0.219,0.438,0.1211704165,0.0004005768,0.4407743125,0.0443101712,0.348,8.8,0.1380638064,,,15318.969816,,10657.611948,,,,2580.313679000001,,-2081.044189,
1,AL,Bibb County,11708.948038,0.251,0.218,0.414,0.1083579882,0.0006673488,0.4353322528,0.024623803,0.214,8.6,0.119266055,,,11576.084947,,11951.858059,,,,-132.86309100000108,,242.9100209999997,
1,AL,Blount County,11898.088409,0.226,0.195,0.373,0.1251558215,0.0002032486,0.5262711265,0.0214429478,0.166,8.8,0.1025821596,,,20007.076409,4471.911834,12605.22656,,,,8108.988000000001,-7426.1765749999995,707.1381509999992,
1,AL,Bullock County,15998.089209,0.349,0.249,0.494,0.1140909091,0.0001937984,0.3631386861,0.0237777778,0.398,8.4,0.1271929825,,,19644.613375,,9641.0202232,,,,3646.524166000001,,-6357.0689858000005,
1,AL,Butler County,14616.39262,0.26,0.204,0.455,0.1038040427,0.0002647744,0.4157664905,0.0291930292,0.374,8.4,0.0987748851,,,17911.769834,,12175.887746,,,,3295.3772139999983,,-2440.504874,
1,AL,Calhoun County,14259.564795,0.215,0.18,0.383,0.1183334269,0.0005863484,0.541490514,0.0281949934,0.285,8.9,0.123715995,,,15369.189349,5648.7027973,14640.803654,,,,1109.624554,-8610.8619977,381.23885899999914,
1,AL,Chambers County,12568.860637,0.267,0.209,0.454,0.1273807243,0.0004053154,0.5251649157,0.0238446411,0.26,8.9,0.152,,,13770.740282,,12022.063696,,,,1201.879645000001,,-546.7969410000005,
1,AL,Cherokee County,12680.903028,0.195,0.176,0.402,0.1325415178,0.0004400704,0.5010112153,0.0239581576,0.205,8.4,0.0851393189,,,10186.746839,,13147.391579,,,,-2494.156189000001,,466.48855099999855,
1,AL,Chilton County,11802.63262,0.196,0.155,0.363,0.1318174548,0.0002208773,0.4612614195,0.0219287439,0.215,8.9,0.1286231884,,,13709.904717,6293.0333915,12205.924987,,,,1907.2720969999991,-5509.5992285,403.292367,
1,AL,Choctaw County,12977.181714,0.265,0.208,0.458,0.1116294207,0.0003989468,0.4762100082,0.0400379057,0.358,8.7,0.1362763916,,,16377.209767,,10888.109934,,,,3400.028053,,-2089.07178,
1,AL,Clarke County,16382.035791,0.262,0.205,0.444,0.1148128868,0.0003954306,0.4139002136,0.0499275458,0.287,8.8,0.12,,,20046.220218,,13592.753565,,,,3664.1844269999983,,-2789.2822259999994,
1,AL,Clay County,13312.804786,0.246,0.215,0.396,0.1055630936,0.0002818887,0.5180650941,0.023549201,0.25,6.8,0.1009259259,,,13873.276197,,13399.797421,,,,560.4714109999986,,86.9926349999987,
1,AL,Cleburne County,12586.014576,0.231,0.208,0.394,0.1238729591,0.000264848,0.5054945055,0.02272361,0.217,8.3,0.0830357143,,,,,12688.603997,,,,,,102.58942100000058,
1,AL,Coffee County,10338.895023,0.195,0.146,0.341,0.115180798,0.0005168531,0.6143234937,0.0250677196,0.21,8.9,0.1140136719,,,17446.127733,6468.4326739,9260.3220446,,,,7107.232710000002,-3870.4623490999993,-1078.5729783999996,
1,AL,Colbert County,12369.517136,0.215,0.188,0.409,0.1068873768,0.0006611685,0.5802328073,0.0294227652,0.205,7.5,0.1071113074,,,17447.633843,,11531.494037,,,,5078.116706999999,,-838.023099,
