Cluster,Poor_or_Fair_Health,Adult_Smoking,Adult_Obesity,Uninsured,Primary_Care_Physician,Some_College,Unemployment,Children_in_Poverty,Air_Pollution_PM,Severe_Housing_Problems,Premature_Death_AIAN,Premature_Death_Asian,Premature_Death_Black,Premature_Death_Hispanic,Premature_Death_White,Premature_Death_NHOPI,n_county
0.0,0.238,0.2135,0.4032,0.0943,0.0004,0.5221,0.0395,0.2444,7.9491,0.122,9725.5468,4317.4617,16933.5341,6993.104,12574.9851,16537.6092,426
1.0,0.1711,0.1424,0.3334,0.0822,0.0006,0.6392,0.0391,0.1588,8.3263,0.1542,16923.0383,3746.3006,12686.0707,7279.848,8447.5406,13121.0849,629
2.0,0.2131,0.1916,0.3922,0.1361,0.0004,0.5487,0.0357,0.2167,7.7567,0.1268,19664.441,4157.1338,16144.7947,8359.6681,11386.1277,19090.7461,535
3.0,0.1889,0.1333,0.3033,0.0718,0.0007,0.6343,0.0561,0.1616,13.8542,0.216,15583.0595,4299.0048,12878.8029,6648.7533,8408.67,13157.0148,295
4.0,0.1755,0.1657,0.3734,0.09,0.0006,0.6339,0.0346,0.1525,7.2498,0.1319,24302.2776,4073.116,14398.343,6575.1723,8216.8064,16308.7539,565
5.0,0.1767,0.1421,0.2989,0.0839,0.0007,0.6461,0.0424,0.1628,10.8039,0.1771,15917.0537,3993.2797,12589.4969,7632.6777,8645.9178,13053.3449,161
6.0,0.1872,0.1355,0.3108,0.0746,0.0007,0.6324,0.0538,0.1621,13.4789,0.2045,15772.2424,4223.0095,12753.8402,6568.4547,8378.7849,13251.2984,372
7.0,0.1821,0.1825,0.3756,0.0922,0.0005,0.6064,0.036,0.1733,7.5955,0.1177,16790.2109,3814.9625,16025.0066,7696.925,9609.1599,13350.6781,946
8.0,0.1881,0.1407,0.318,0.0813,0.0007,0.6237,0.0518,0.1633,12.6894,0.1923,16596.5586,4194.4979,12686.1292,6661.5996,8650.6413,13603.2889,501
9.0,0.2311,0.1738,0.392,0.1887,0.0004,0.5338,0.0384,0.2222,7.9321,0.1397,10823.6777,3792.0505,14807.3756,8912.9502,11390.4225,14141.5409,1248
